problem_id,sentence_idx,sent_entropy_mean,sent_entropy_last
0,0,0.09133544564247131,0.2779432237148285
0,1,0.09658730775117874,0.08301486819982529
0,2,0.4220266044139862,7.408951205434278e-05
0,3,0.2842447757720947,0.21078985929489136
0,4,0.4094395637512207,0.0011536626843735576
0,5,0.342990905046463,1.0228370428085327
0,6,0.33773842453956604,3.0674534627905814e-06
0,7,0.2038583755493164,4.640140105038881e-05
0,8,0.5710537433624268,4.842611087951809e-05
0,9,0.15079228579998016,3.868508883897448e-06
0,10,0.5783475041389465,0.8214330077171326
0,11,0.28159549832344055,0.0467958003282547
0,12,0.34194856882095337,0.00012937055726069957
0,13,0.5100231170654297,0.527131974697113
0,14,0.3062228560447693,0.09021899849176407
0,15,0.5624650716781616,0.12050029635429382
0,16,0.22197647392749786,9.677647767603048e-07
0,17,0.3157894015312195,0.3980936110019684
0,18,0.2785845398902893,0.7544234991073608
0,19,0.5936488509178162,0.7741312384605408
0,20,0.4239269196987152,4.337534846854396e-07
0,21,0.37423691153526306,7.209087016235571e-06
0,22,0.8726539015769958,0.9747423529624939
0,23,0.33431974053382874,0.15937548875808716
0,24,0.48231041431427,1.372720718383789
0,25,0.9529933929443359,0.5430684089660645
0,26,0.5349107980728149,1.1324832439422607
0,27,0.4157477021217346,6.759121333743678e-07
0,28,0.43418532609939575,0.5478906631469727
0,29,0.7098940014839172,7.573042967123911e-05
0,30,0.611240804195404,0.2587531507015228
0,31,0.8948667645454407,0.0074190120212733746
0,32,0.5993318557739258,0.10291816294193268
0,33,0.07129080593585968,1.5183996765699703e-05
0,34,0.21079207956790924,0.01562931388616562
0,35,0.05645813047885895,0.0004007419338449836
0,36,0.017966175451874733,0.00012758007505908608
0,37,0.09700581431388855,0.4750547707080841
0,38,0.17982718348503113,0.5965152382850647
0,39,0.04669806361198425,0.0002625611377879977
1,0,0.060573477298021317,0.9551401734352112
1,1,0.5170325040817261,0.0011629608925431967
1,2,0.24542194604873657,1.2165815830230713
1,3,0.48340266942977905,1.1053372621536255
1,4,0.18062156438827515,1.7395732402801514
1,5,0.5240889191627502,0.38172927498817444
1,6,0.2635573446750641,0.564977765083313
1,7,0.20851345360279083,1.2895699739456177
1,8,0.2360372692346573,0.9388781785964966
1,9,0.09885501116514206,0.850042462348938
1,10,0.24089600145816803,0.7041599750518799
1,11,0.10970308631658554,1.6336305141448975
1,12,0.07295543700456619,1.6396857500076294
1,13,1.2696654796600342,0.6946972012519836
1,14,0.4856579005718231,0.27769896388053894
1,15,0.3444949984550476,0.0007608584128320217
1,16,0.28441616892814636,0.00013790474622510374
1,17,0.23509860038757324,0.023815080523490906
2,0,0.12970462441444397,0.4191133975982666
2,1,0.4809005856513977,0.003267360385507345
2,2,0.518180251121521,0.1923871487379074
2,3,0.6654096245765686,0.6709787845611572
2,4,0.3101460039615631,0.9087655544281006
2,5,0.25726887583732605,0.059715624898672104
2,6,0.210672065615654,0.0004057766345795244
2,7,0.1510477066040039,0.02592136338353157
2,8,0.30458521842956543,1.658250093460083
2,9,0.3614075183868408,1.3330780267715454
2,10,0.2555871307849884,0.6031153202056885
2,11,0.5268645882606506,1.462523341178894
2,12,0.1239573135972023,0.0002228553785244003
2,13,0.15549874305725098,0.0006394889787770808
2,14,0.03357607498764992,0.24314036965370178
2,15,0.18066143989562988,1.7039752006530762
2,16,0.34869885444641113,1.9208756685256958
2,17,0.26407212018966675,1.2891358137130737
2,18,0.0969134271144867,0.00183568533975631
2,19,0.07477004826068878,0.0001165710564237088
2,20,0.023654967546463013,0.26348403096199036
2,21,0.2431701272726059,2.428917407989502
2,22,0.31779512763023376,0.9681956768035889
2,23,0.1494578868150711,0.5932766199111938
