regime,transition_entropy_bits,mean_sentence_entropy
0,1.6856620527709194,0.35163479226016947
1,1.6906982077275927,0.3182437753338542
2,1.9481169926001045,0.4213563605127009
3,1.9216796777088923,0.35811368609930194
