from_state,to_state,mean_entropy,count
0,0,0.37850784053515735,38
0,1,0.26690293703642154,9
0,2,0.21364319076140723,3
0,3,0.311451380699873,5
1,0,0.3275331218134273,11
1,1,0.46055194966751956,29
1,2,0.4035344728165203,9
2,0,0.37828609347343445,2
2,1,0.3870643265545368,10
2,2,0.3902618171544826,29
2,3,0.6126869320869446,1
3,0,0.25659493636339903,4
3,1,0.611240804195404,1
3,2,0.4025556147098541,1
3,3,0.3150882089738639,49
