regime,mean_entropy_base,mean_entropy_finetuned,mean_entropy_reduction,count
0,0.6746379958266127,0.3546508867558324,0.3199871090707802,56
1,0.8266972591727972,0.4172657606378198,0.40943149853497746,50
2,0.8156580142623914,0.37085485471669183,0.4448031595456996,44
3,0.6193477102954473,0.3167673339235729,0.30258037637187435,56
