,Pair,K,W,Entropy_RLVR,Entropy_Base,GenSim_RLVR,GenSim_Base,Gap_RLVR,Gap_Base
32,Llama8B_Math500_Final,6,5,0.02795909,0.30802318,0.9730611016501242,0.9808086002605003,0.41775129040980674,0.24131861112055086
33,Llama8B_Math500_Final,8,1,0.043291394,0.41078448,0.9180840425435147,0.9544522920747598,0.48939558513533277,0.28160049270716736
34,Llama8B_Math500_Final,8,3,0.028605139,0.46370038,0.976263683439242,0.9766871797284861,0.4617806395876948,0.254483118660761
35,Llama8B_Math500_Final,8,5,0.03858754,0.123685285,0.9723253846168518,0.9856073639371938,0.4209721500549206,0.0023286160323966465
36,Qwen1.5_GSM8K_L20,2,1,0.09599204,0.09972782,0.5779569963755868,0.5427392267070352,0.8022669829010984,0.9876152499057214
37,Qwen1.5_GSM8K_L20,2,3,0.094644584,0.33278218,0.6197848372269021,0.5492319654486033,0.7510986082305465,0.9813664596008894
38,Qwen1.5_GSM8K_L20,2,5,0.17575374,0.3083915,0.6779508447839713,0.755971560254693,0.9703630175778842,0.5555555554864198
39,Qwen1.5_GSM8K_L20,4,1,0.14130613,0.13344595,0.642254587188633,0.6101109323583017,0.5435546811341165,0.7462683530895474
40,Qwen1.5_GSM8K_L20,4,3,0.14741905,0.5770695,0.6739807725012493,0.5494578563134763,0.3084754014453449,0.4210113617297895
41,Qwen1.5_GSM8K_L20,4,5,0.2929553,0.53961873,0.7188903810573437,0.7659888360649347,0.7437054216083842,0.3178047966335823
42,Qwen1.5_GSM8K_L20,6,1,0.21053012,0.18686128,0.6670785339851188,0.6086052779905072,0.6649081753383168,0.548987619504828
43,Qwen1.5_GSM8K_L20,6,3,0.20095757,0.65949273,0.6950241959448994,0.5734520141222623,0.2499504372604181,0.4905989356976971
44,Qwen1.5_GSM8K_L20,6,5,0.31238127,0.9210173,0.7384382233665704,0.7061325386166573,0.39154719071672217,0.4999999999524809
45,Qwen1.5_GSM8K_L20,8,1,0.1769177,0.17950979,0.6701761719844965,0.6257808894578113,0.44608914478256223,0.44787040070538
46,Qwen1.5_GSM8K_L20,8,3,0.19081934,0.71632624,0.7096135547178324,0.567300807747095,0.19961532018113048,0.14322721278915684
47,Qwen1.5_GSM8K_L20,8,5,0.3111437,1.0075607,0.7288472267198819,0.7082763188518584,0.18978428661233004,0.5866424465903735
48,Qwen14B_Math500_L28,2,1,0.012073963,0.012882017,0.8835998340861315,0.9294516990164748,0.7866811711870189,0.9211351754959456
49,Qwen14B_Math500_L28,2,3,0.00473576,0.11315117,0.9403113160243433,0.9663900561251882,0.9060675955538599,0.6249999999218749
50,Qwen14B_Math500_L28,2,5,0.0074612102,0.003863743,0.9677523863222207,0.9960860759019852,0.9388140161611547,0.0
51,Qwen14B_Math500_L28,4,1,0.03091593,0.054394044,0.9439794890935355,0.9416625929479839,0.6792303341942516,0.841245434148753
52,Qwen14B_Math500_L28,4,3,0.015766606,0.1874076,0.9725308323259553,0.9665892407045527,0.7086973927754849,0.5567056032661688
53,Qwen14B_Math500_L28,4,5,0.024930814,0.02430937,0.9833965033837461,0.9971502274274826,0.7206125238973633,0.0
54,Qwen14B_Math500_L28,6,1,0.042468734,0.11104485,0.9572620542446633,0.9555671909777056,0.8053936790702935,0.7262771804570942
55,Qwen14B_Math500_L28,6,3,0.024520619,0.3275761,0.9808346462608006,0.9631197806132041,0.7544556220031916,0.21214776368893962
56,Qwen14B_Math500_L28,6,5,0.040581293,0.1611011,0.9880425462367952,0.9608977735042572,0.7693598447212657,0.9999999989999999
57,Qwen14B_Math500_L28,8,1,0.046176344,0.11408625,0.9650964988714309,0.9552680450828136,0.5344192169918326,0.5177547971023166
58,Qwen14B_Math500_L28,8,3,0.023201518,0.30338418,0.9862361454537937,0.9753378862041538,0.4267441431034933,0.2500000000625
59,Qwen14B_Math500_L28,8,5,0.052946724,0.19010004,0.9885547443562949,0.969110444188118,0.7574796508559035,0.0
60,Qwen14B_Math500_Final,2,1,0.030911488,0.037488006,0.7897945982333466,0.852427130998814,0.8980578764843588,0.8814209046684546
61,Qwen14B_Math500_Final,2,3,0.004111551,0.058726627,0.9059625515050944,0.9542070814856777,0.8511945158503769,0.30952380947745506
62,Qwen14B_Math500_Final,2,5,0.003108886,5.720405e-09,0.9452158875567817,0.9977596998214722,0.43060109289250104,0.9999999989999999
63,Qwen14B_Math500_Final,4,1,0.046691258,0.047144715,0.8325140372459419,0.8994679114181702,0.5448751942721495,0.6711013080401455
64,Qwen14B_Math500_Final,4,3,0.012095034,0.21502858,0.9589898748707035,0.9645811451805962,0.688946047201799,0.39237478138994153
65,Qwen14B_Math500_Final,4,5,0.018855443,0.0047552874,0.974980354309082,0.9973596533139547,0.553165456404459,0.0
66,Qwen14B_Math500_Final,6,1,0.04961898,0.06577688,0.852096276295311,0.9038634200465597,0.37710409175028925,0.3573933162069608
67,Qwen14B_Math500_Final,6,3,0.019445498,0.2502851,0.9676866649935104,0.9611318078305986,0.5346535991634602,0.37294432563661717
68,Qwen14B_Math500_Final,6,5,0.023546033,0.20554815,0.9884890868441871,0.9844173192977905,0.5229615053387342,0.0
69,Qwen14B_Math500_Final,8,1,0.055774637,0.1235345,0.8676833398691491,0.9134382317735724,0.5374116120270582,0.5894166910356572
70,Qwen14B_Math500_Final,8,3,0.016968416,0.26297948,0.9761262938840077,0.9578174308494285,0.20507363725136007,0.125798558961011
71,Qwen14B_Math500_Final,8,5,0.02926213,0.17916287,0.9790171026330006,0.9952635765075684,0.5015211144668228,0.9999999989999999
72,Qwen1.5_Math500_L20,2,1,0.21846612,0.144305,0.6165253772910145,0.5961370524808653,0.8383544303784952,0.7330680616573304
73,Qwen1.5_Math500_L20,2,3,0.25158635,0.34969115,0.7150272120334007,0.6351422411614451,0.8977018419664227,0.9903846153445439
74,Qwen1.5_Math500_L20,2,5,0.27589625,0.21536803,0.8264607210238979,0.8698864263646743,0.7380347593530295,0.6666666664444445
75,Qwen1.5_Math500_L20,4,1,0.3088806,0.3862692,0.6566495956957373,0.5982327046908642,0.6084972317592057,0.6306586258485132
76,Qwen1.5_Math500_L20,4,3,0.40398243,0.84324026,0.7462880509930688,0.5908208482224365,0.7621009473112477,0.7476786152216269
77,Qwen1.5_Math500_L20,4,5,0.66136706,0.49722645,0.8290638420299883,0.8569532632827759,0.6183828989521061,0.33333333322222225
78,Qwen1.5_Math500_L20,6,1,0.36474928,0.4168425,0.6809218080442645,0.6159518765856946,0.3352474608621422,0.5819716409540624
79,Qwen1.5_Math500_L20,6,3,0.50302964,1.1122601,0.748073599451297,0.5722537127548251,0.2314369974196543,0.6605851102167153
80,Qwen1.5_Math500_L20,6,5,0.8989363,0.5686295,0.8277866605927827,0.843474829898161,0.6705361885385817,0.499999999875
81,Qwen1.5_Math500_L20,8,1,0.5263224,0.5716018,0.6649398754205693,0.591112214149884,0.5632536455812809,0.5549020714341188
82,Qwen1.5_Math500_L20,8,3,0.6601107,1.4103143,0.7477356787066202,0.5438517239843977,0.4740019205064966,0.3562667772325243
83,Qwen1.5_Math500_L20,8,5,1.109766,0.68276376,0.8318650947744864,0.7480834411347613,0.7867400486478124,0.9999999996666666
84,Qwen14B_GSM8K_Final,2,1,0.20756587,0.026032394,0.8568781671214238,0.8776995650721047,0.5660555034746353,0.9691338073570023
85,Qwen14B_GSM8K_Final,2,3,0.22600502,0.06760521,0.9011242673274429,0.9494567977057563,0.4843878253790965,0.74999999990625
86,Qwen14B_GSM8K_Final,2,5,0.28847808,8.646975e-09,0.9414770121640358,0.9915825128555298,0.6685017779165674,0.0
87,Qwen14B_GSM8K_Final,4,1,0.22988892,0.07934328,0.8808920672215984,0.9044326944452412,0.32208923882701135,0.43798182261657803
88,Qwen14B_GSM8K_Final,4,3,0.25400755,0.17307752,0.9175248757320345,0.9606315692265829,0.24842579869399584,0.2499999999375
89,Qwen14B_GSM8K_Final,4,5,0.5413912,7.461301e-09,0.9527470709175848,0.9922336935997009,0.4724500757866902,0.0
90,Qwen14B_GSM8K_Final,6,1,0.22004984,0.044303887,0.8911490044014602,0.9315085678870948,0.21914883449960543,2.3265278592532468e-11
91,Qwen14B_GSM8K_Final,6,3,0.33585042,0.16340943,0.9298298152307338,0.9745083120134141,0.18165584531985246,0.09523809528798188
92,Qwen14B_GSM8K_Final,6,5,0.64024204,4.7052967e-05,0.9577065760911,0.9900552034378052,0.42069792373332116,0.0
93,Qwen14B_GSM8K_Final,8,1,0.44360083,0.13541777,0.8967847332905579,0.9312661624742005,0.2697860528102459,0.06174389612547149
94,Qwen14B_GSM8K_Final,8,3,0.5170375,0.332536,0.9326514702588996,0.9445980654822456,0.15738339107558152,0.33764102069928814
95,Qwen14B_GSM8K_Final,8,5,0.8728085,0.00013359035,0.9584766816744794,0.9881757497787476,0.42150237550747904,0.0
