,Pair,K,W,Entropy_RLVR,Entropy_Base,Gap_RLVR,Gap_Base,Necessity_Align,Sufficiency_Ratio
0,Llama8B_GSM8K_L22,2,1,0.0105743455,0.09354057,0.8532110091735261,0.5028508959945953,1.1499649180968923,1.0403897885972868
1,Llama8B_GSM8K_L22,2,3,0.0068138945,0.13723029,0.9165757933985769,0.6176439369791911,1.1525849519732967,1.0193376697805643
2,Llama8B_GSM8K_L22,2,5,0.004721223,0.14377248,0.9703902045874518,0.5693581780506942,1.1479226695550766,1.0465631182324262
3,Llama8B_GSM8K_L22,4,1,0.023508465,0.14455655,0.837666236449722,0.3619418306390365,1.291537187388973,1.1771424681668152
4,Llama8B_GSM8K_L22,4,3,0.013468296,0.14099155,0.7173335102328595,0.4231932868047241,1.295592289316159,1.21829729011008
5,Llama8B_GSM8K_L22,4,5,0.011392428,0.19756564,0.797648151417117,0.22270176947255182,1.2801798481351219,1.2669038074650498
6,Llama8B_GSM8K_L22,6,1,0.03340794,0.23590605,0.7444193924983277,0.4049088032965442,1.3575346487174682,1.2005090997716936
7,Llama8B_GSM8K_L22,6,3,0.016683882,0.3051235,0.6384260464263347,0.212265826615485,1.36710461386278,1.553725187389212
8,Llama8B_GSM8K_L22,6,5,0.01676052,0.28056931,0.8146853068010618,0.24361373936336794,1.3374371731015509,1.419380341816352
9,Llama8B_GSM8K_L22,8,1,0.048652835,0.26102644,0.6266812307324497,0.230401698350014,1.3826741974420362,1.2648549215648959
10,Llama8B_GSM8K_L22,8,3,0.020686753,0.40866712,0.6052035435734133,0.3275676192543583,1.4216804159371796,1.5308324138017673
11,Llama8B_GSM8K_L22,8,5,0.023597077,0.40172163,0.6427670751728309,0.24321925023671653,1.3847243448175677,1.5346579101628675
12,Llama8B_GSM8K_Final,2,1,0.024334272,0.096086115,0.8860538463283352,0.48386787707388246,1.1488057349536969,1.0614527987462365
13,Llama8B_GSM8K_Final,2,3,0.007879132,0.1370013,0.9974973656464189,0.6934186114617532,1.1681189465370505,1.030565005903218
14,Llama8B_GSM8K_Final,2,5,0.008121777,0.05190657,0.5546348071694833,0.31807692307573565,1.1799239609971839,1.0427051769400486
15,Llama8B_GSM8K_Final,4,1,0.03249044,0.14331385,0.6805954640689003,0.3879130090854863,1.3020771581208344,1.3098876616124575
16,Llama8B_GSM8K_Final,4,3,0.034523476,0.1902769,0.7587070925000142,0.4310116590245745,1.3047076487244456,1.1698764773773602
17,Llama8B_GSM8K_Final,4,5,0.041925002,0.118251406,0.747351512206572,0.2736265267726741,1.2907702575301154,1.2501948510010032
18,Llama8B_GSM8K_Final,6,1,0.057112303,0.1688143,0.6574997011848953,0.3544432970283826,1.364612511989405,1.2512131667022177
19,Llama8B_GSM8K_Final,6,3,0.021833152,0.22265276,0.46073293500230905,0.2331078779179072,1.3901401857355733,1.2914071607384325
20,Llama8B_GSM8K_Final,6,5,0.022701286,0.16987379,0.42071964606789725,0.1616102465365865,1.3570882323978442,1.3357384504962027
21,Llama8B_GSM8K_Final,8,1,0.06504947,0.27893305,0.5839423005862923,0.2927376747515482,1.419799411125322,1.3951006467445586
22,Llama8B_GSM8K_Final,8,3,0.053381633,0.23009162,0.5943229199972826,0.24567973715591207,1.4261532930815841,1.5063680054859074
23,Llama8B_GSM8K_Final,8,5,0.059076604,0.2380985,0.39971382782025766,0.112502385432524,1.4073825307278034,1.5826620124478477
24,Llama8B_Math500_Final,2,1,0.02107886,0.057455394,0.8443601012821795,0.5223662472973407,1.148041084973747,1.0956322675177554
25,Llama8B_Math500_Final,2,3,0.008323144,0.08735432,0.7534298901780514,0.6385677585054634,1.1577881676666142,1.1455161554308417
26,Llama8B_Math500_Final,2,5,0.0085760765,0.07621778,0.6825396825338454,0.16764033527982747,1.1388406527082429,1.011547383186664
27,Llama8B_Math500_Final,4,1,0.03312905,0.15488635,0.6945714509909903,0.2859178753361543,1.2968991619251977,1.223987878974601
28,Llama8B_Math500_Final,4,3,0.017565593,0.29492623,0.6000379449414794,0.3603853202489431,1.3070028369711861,1.4348628092978952
29,Llama8B_Math500_Final,4,5,0.034201793,0.17860863,0.7597844221249589,0.22083933736684302,1.2530955938152022,0.9929979043856727
30,Llama8B_Math500_Final,6,1,0.07194426,0.28771505,0.6837357152964046,0.25923335728868446,1.353181955174803,1.3430129104542197
31,Llama8B_Math500_Final,6,3,0.024266662,0.33819658,0.5195920883127364,0.4188577164130419,1.3766208548229475,1.527507785702845
32,Llama8B_Math500_Final,6,5,0.028127456,0.18251689,0.7130614625578908,0.11999652124136218,1.3196859750761882,1.3952903235807057
33,Llama8B_Math500_Final,8,1,0.04449134,0.2535252,0.6759569196242231,0.22813431618005697,1.432692765413535,1.3903318219704082
34,Llama8B_Math500_Final,8,3,0.026907537,0.3358171,0.5995896689878307,0.13065396912960692,1.4245768345429333,1.6056690612462834
35,Llama8B_Math500_Final,8,5,0.06458848,0.45642874,0.5827750160840846,0.20850293670439313,1.3431824050678958,1.7485403988456876
36,Qwen1.5_GSM8K_L20,2,1,0.112490915,0.10282488,0.7800303259206223,0.897058823524626,1.0816529517549138,1.002909103797068
37,Qwen1.5_GSM8K_L20,2,3,0.09990309,0.27482226,0.6782093302726353,0.741258741238911,1.1027689924468869,1.0005085046576478
38,Qwen1.5_GSM8K_L20,2,5,0.121762134,0.3871481,0.6863636363595627,0.8035714284645196,1.1035071290454601,1.0044259727528293
39,Qwen1.5_GSM8K_L20,4,1,0.12740603,0.109873995,0.6584932579408641,0.540746213557677,1.2060913065838421,1.0653467489436796
40,Qwen1.5_GSM8K_L20,4,3,0.16664724,0.49286827,0.4206211036288625,0.5663076455628044,1.2117323232086217,1.1264473366553025
41,Qwen1.5_GSM8K_L20,4,5,0.27893224,0.4387198,0.5962749895680318,3.1818192525179256e-10,1.1980461708031998,1.111253001063872
42,Qwen1.5_GSM8K_L20,6,1,0.17047301,0.12419482,0.5288706267475328,0.6210520714227091,1.2542438403340028,1.2068304975606083
43,Qwen1.5_GSM8K_L20,6,3,0.16227432,0.5615837,0.3678189014526727,0.20018656511456656,1.2906213506349336,1.3128486435505187
44,Qwen1.5_GSM8K_L20,6,5,0.31897083,1.0024967,0.313374265015371,1.9999990552577174e-10,1.275975060082679,1.2262868638955844
45,Qwen1.5_GSM8K_L20,8,1,0.20680858,0.13179134,0.5273446732185697,0.8120762221793614,1.2724372334891751,1.1914339609828635
46,Qwen1.5_GSM8K_L20,8,3,0.1482026,0.8569718,0.12547372872079654,0.5937734014636615,1.3398090910810088,1.2368753815336164
47,Qwen1.5_GSM8K_L20,8,5,0.368109,0.7759801,0.27788982551254326,0.3923747814189267,1.3068341893074609,1.3858451719368339
48,Qwen14B_Math500_L28,2,1,0.013187475,0.028557286,0.9247639386440623,0.6960418222495109,1.1479045809126507,1.0242519258975917
49,Qwen14B_Math500_L28,2,3,0.0031212887,0.10937526,0.9681162817928888,0.9454545453081754,1.1478827501403892,1.0044855003498894
50,Qwen14B_Math500_L28,2,5,0.0074227946,0.06777025,0.8111053450866256,0.9999999989999999,1.118782265003361,1.0552886355480269
51,Qwen14B_Math500_L28,4,1,0.023912571,0.07557644,0.688503786731357,0.8160049305948899,1.274051260190585,1.098645063867263
52,Qwen14B_Math500_L28,4,3,0.016644508,0.26663676,0.6373585085632913,0.571428571114796,1.2565421867243936,1.2455581770080808
53,Qwen14B_Math500_L28,4,5,0.020169618,0.09008954,0.6542007940839677,0.9999999989999999,1.2159917660977873,0.9513699283419292
54,Qwen14B_Math500_L28,6,1,0.036196116,0.08099648,0.5828030919398043,0.6774999634439989,1.335827673173305,1.18345301672996
55,Qwen14B_Math500_L28,6,3,0.017597282,0.24706683,0.6572334071896807,6.153857423640829e-10,1.3343550542129519,1.1892216839205203
56,Qwen14B_Math500_L28,6,5,0.025221257,0.11595902,0.6757396419214385,0.0,1.2650512313216593,1.7353736326909035
57,Qwen14B_Math500_L28,8,1,0.049517132,0.11612682,0.6482948977391283,0.607381585455749,1.3680219520386063,1.2286984042982971
58,Qwen14B_Math500_L28,8,3,0.025121193,0.61805844,0.5499345912746443,0.49621369380105584,1.368829984200146,1.3046373003459293
59,Qwen14B_Math500_L28,8,5,0.03756678,0.006827498,0.533798884658405,0.0,1.2982172050245215,1.4852516721153735
60,Qwen14B_Math500_Final,2,1,0.02025373,0.03876445,0.9379932833811696,0.7485994397687528,1.1453013943691008,1.0172280690286863
61,Qwen14B_Math500_Final,2,3,0.0064029233,0.07549157,0.8924846288953471,0.7249999999135129,1.1591009979074984,1.0213687959232602
62,Qwen14B_Math500_Final,2,5,0.005196028,0.00036990107,0.8053571428496402,0.9999999989999999,1.1572249627858464,0.9718281008264634
